        2003.96        375.776        375.381        376.171        375.834        375.555        375.494
        2004.04        377.393        376.922        377.863        377.382        377.295        377.318
        2004.12        377.679         377.09        378.268        377.725        377.643        377.801
        2004.21        378.608        377.932        379.284        378.635        378.457        378.732
        2004.29        379.542        378.802        380.282         379.45         379.28        379.358
        2004.37        380.681        379.885        381.477        380.562        380.463         380.25
        2004.46        379.887        379.037        380.737        379.972        379.894        379.481
        2004.54        378.109        377.205        379.012        378.248        378.385        377.515
        2004.62        375.749        374.793        376.704        375.709        376.176        374.951
        2004.71        374.416        373.408        375.423        374.333        374.759        373.602
        2004.79        374.599        373.541        375.656        374.652        374.919        373.684
        2004.87         376.17        375.065        377.275        376.247        376.479        375.098
        2004.96        377.225         376.07         378.38        377.319        377.364        376.177
        2005.04         378.22        377.009        379.431        378.573        378.279        377.358
        2005.12        378.997        377.733        380.262         379.52        379.099        378.307
        2005.21        380.167        378.855        381.478        380.859        380.312        379.538
        2005.29        380.858        379.504        382.212        381.725        381.107        379.863
        2005.37        381.318        379.925        382.711        382.098        381.754        379.883
        2005.46        381.219        379.789        382.648        381.849        381.789        379.834
        2005.54         379.15        377.687        380.613        379.544        379.734        377.855
        2005.62        377.478        375.984        378.972        377.746        378.125        376.194
        2005.71        375.617        374.094        377.141        375.944        376.208        374.328
        2005.79        375.851          374.3        377.402         376.14        376.343        374.448
        2005.87         377.26        375.683        378.838        377.356        377.762        375.962
        2005.96        378.464        376.859        380.069        378.418        378.926        377.501
        2006.04        379.642        378.005        381.279        379.695        380.119        378.672
        2006.12        380.667        378.999        382.335        380.798        381.188        379.318
        2006.21        381.503        379.808        383.199        381.773        381.785        379.954
        2006.29        382.555        380.834        384.275        383.049        382.464        380.935
        2006.37        382.794         381.05        384.539         383.31        382.575        381.205
        2006.46        382.227         380.46        383.994        382.643        382.092        380.821
        2006.54        380.601        378.813        382.389        380.852        380.527        379.192
        2006.62        378.604        376.796        380.411         378.75        378.598        377.151
        2006.71        377.111        375.284        378.938        377.291        377.125        375.513
        2006.79        377.154        375.308            379         377.43         377.22        375.322
        2006.87        378.721        376.858        380.585        378.931        378.736        376.926
        2006.96        380.156        378.272        382.039        380.151        379.927        378.645
        2007.04        380.935        379.028        382.843        380.816        380.716        379.537
        2007.12        382.182        380.251        384.114        381.966         382.12        380.729
        2007.21        382.704        380.751        384.658        382.488         382.53         381.42
        2007.29        383.888        381.915        385.862        383.663        383.502        382.775
        2007.37        384.438        382.445         386.43        384.069        384.024        383.207
        2007.46         383.42        381.409        385.431        382.992        383.022        382.061
        2007.54        382.564        380.535        384.593         382.04        381.958        381.175
        2007.62        380.125         378.08        382.171        379.698        379.351        378.884
        2007.71        378.449        376.387        380.511        378.396        377.682        377.436
        2007.79        378.734        376.655        380.812        378.851        378.074        377.891
        2007.87         380.12        378.026        382.215        380.062        379.519        379.463
        2007.96        381.816        379.703        383.928        381.609         381.08        381.308
        2008.04        382.679        380.544        384.814        382.699        381.893        382.146
        2008.12        383.312        381.155         385.47        383.416        382.703        382.727
        2008.21        384.205        382.027        386.382        384.033         383.74         383.71
        2008.29        385.553        383.356         387.75        385.129        385.093        384.887
