 0.1 1.4972 0.583483 0.631131	 -0.0243055 -0.0645103 0.113061 -0.125453 -0.10354 0.201802 0.0818416 0.0848399 0.00830047 0.0262009 0.0155283 0.0577815
 0.277978 1.04314 0.622723 1.14264	 -0.0251829 -0.0612245 0.092927 -0.105443 -0.106481 0.183009 0.0810768 0.0775318 0.00011648 0.0216991 0.00998237 0.0507218
 0.451752 0.772673 1.01932 0.649349	 -0.0254756 -0.0545973 0.103949 -0.119395 -0.0955805 0.164114 0.068543 0.0705143 -0.00717207 0.0218714 0.0139309 0.0444866
 0.730631 0.739039 1.2996 1.06837	 -0.0223737 -0.0472848 0.0866361 -0.100548 -0.0855975 0.139021 0.0666958 0.0660008 -0.0134275 0.0151559 0.0104491 0.0370916
 0.270971 1.47898 1.47758 0.98989	 -0.030412 -0.0671316 0.108451 -0.116619 -0.109016 0.193234 0.0864715 0.0878422 0.00168122 0.0216245 0.0126231 0.0543773
 0.392893 0.503604 0.61992 1.38509	 -0.0273374 -0.0564192 0.0844256 -0.0994914 -0.104357 0.169063 0.0750518 0.0696245 -0.00819014 0.0208122 0.00851635 0.0442152
 0.157457 0.597497 0.261161 0.776877	 -0.0259106 -0.064043 0.104903 -0.120731 -0.116974 0.188171 0.0708948 0.0601404 0.00569079 0.0294401 0.0114287 0.0533355
 1.06136 0.454555 0.46997 0.748849	 -0.0171713 -0.0374649 0.0768854 -0.0980798 -0.0820596 0.116625 0.0520057 0.0496678 -0.0169364 0.0161675 0.00949031 0.0306087
 1.37528 0.154655 1.26176 0.350851	 -0.0126732 -0.0304492 0.0929712 -0.107105 -0.0546413 0.0978984 0.0342038 0.0397991 -0.0274202 0.0187255 0.0157695 0.022102
 0.761461 0.568068 1.34164 0.959059	 -0.0196866 -0.0445415 0.0825895 -0.0993811 -0.0856016 0.135411 0.0607534 0.0593723 -0.0170397 0.0171666 0.00980468 0.0351897
 0.614314 1.05716 0.163063 1.36406	 -0.0216918 -0.0485379 0.0698951 -0.0905409 -0.09461 0.162995 0.082229 0.0749149 -0.0124564 0.0174005 0.00514901 0.0414687
 0.123824 1.27437 1.18048 1.21131	 -0.0298889 -0.0707354 0.10946 -0.112239 -0.110317 0.197074 0.0820589 0.0787165 0.00782519 0.0258693 0.0126213 0.0569973
 1.28418 0.643744 1.14264 0.331231	 -0.0159373 -0.0330958 0.0986885 -0.112286 -0.0585491 0.103652 0.0429956 0.0539272 -0.0184703 0.0140787 0.0166785 0.0285575
 0.147648 0.898799 0.105606 0.701201	 -0.0260057 -0.0619716 0.102915 -0.119243 -0.104781 0.195616 0.0835134 0.0757294 0.00705035 0.0268338 0.0112619 0.0558879
