'uu_width','ud_width','us_width','ss_width'
1.07708, 0.384511, 0.971999, 0.457519
1.10515, 0.445613, 0.882472, 0.31449
1.16916, 0.39868, 0.909183, 0.282788
1.07017, 0.551258, 0.838355, 0.410404
1.18444, 0.541648, 0.723342, 0.513215
1.23109, 0.701307, 0.76923, 0.521832
1.49067, 0.552545, 1.01166, 0.379407
1.46514, 0.429921, 1.02147, 0.523613
1.39771, 0.447109, 0.961274, 0.590739
1.29573, 0.415186, 1.02602, 0.561495
1.41095, 0.431609, 1.11161, 0.46245
1.38527, 0.430146, 1.22869, 0.546206
1.42548, 0.442015, 1.26473, 0.545873
1.43803, 0.535276, 1.24061, 0.648342
1.37782, 0.511107, 1.33578, 0.656715
1.26617, 0.596062, 1.37775, 0.555477
1.2917, 0.582599, 1.44211, 0.424397
1.31666, 0.628995, 1.42963, 0.376842
1.17624, 0.615061, 1.41591, 0.461461
0.888278, 0.738045, 1.41674, 0.446953
0.970249, 0.707443, 1.31187, 0.431189
1.16644, 0.722269, 1.38988, 0.383623
0.992385, 0.750857, 1.36747, 0.317948
1.23747, 0.821758, 1.4367, 0.190508
1.18973, 0.946071, 1.4318, 0.331433
1.09495, 0.948421, 1.48451, 0.371297
1.10027, 0.91022, 1.39435, 0.263061
1.27683, 0.88905, 1.35855, 0.427655
1.15149, 1.01281, 1.48329, 0.347915
1.14404, 1.12535, 1.46617, 0.330167
1.08635, 1.16822, 1.36192, 0.439232
1.06466, 1.2484, 1.36114, 0.376635
0.992042, 1.28847, 1.3753, 0.556556
0.997787, 1.44524, 1.32814, 0.594784
0.98687, 1.43947, 1.32949, 0.695742
0.957611, 1.38934, 1.23637, 0.604042
0.910851, 1.43705, 1.22933, 0.60766
0.846951, 1.45994, 1.24372, 0.677477
0.840609, 1.4537, 1.15268, 0.743852
1.10221, 1.34113, 1.30731, 0.878407
1.04214, 1.30978, 1.2045, 0.817799
1.0249, 1.40012, 1.32735, 0.992777
0.993211, 1.18278, 1.44616, 0.983036
1.11096, 1.24694, 1.49783, 0.800846
1.05362, 1.09598, 1.40364, 0.728023
0.921872, 1.20323, 1.28332, 0.731108
0.842738, 1.16163, 1.0783, 0.612607
0.868037, 1.18758, 1.1024, 0.403116
0.873769, 1.20239, 1.11097, 0.497521
0.934624, 1.15626, 1.2719, 0.501166
1.01153, 1.31519, 1.28545, 0.413922
0.964421, 1.34842, 1.18606, 0.326447
1.04449, 1.26529, 1.22672, 0.374898
1.05823, 1.26595, 1.16431, 0.49644
1.04371, 1.13774, 1.009, 0.491678
1.03099, 1.314, 0.994415, 0.469077
0.915907, 1.46557, 1.02771, 0.66823
1.04839, 1.3485, 0.960043, 0.638422
1.07276, 1.30279, 1.11883, 0.577973
1.26061, 1.26312, 0.904033, 0.643315
1.21479, 1.33785, 0.945607, 0.665128
1.28288, 1.23666, 1.01213, 0.726622
1.30541, 1.26503, 1.0009, 0.631557
1.13249, 1.19387, 1.15247, 0.614128
0.850798, 1.22802, 1.11994, 0.53445
0.882786, 1.29528, 1.21268, 0.476079
0.921425, 1.38181, 1.23373, 0.412895
1.09007, 1.2659, 1.06113, 0.366697
1.04083, 1.13819, 1.16866, 0.548595
1.01818, 1.22194, 1.10402, 0.457341
1.09259, 1.41983, 1.19509, 0.437173
1.15279, 1.44868, 1.06574, 0.529345
1.22751, 1.43445, 1.08125, 0.564498
1.19614, 1.44889, 1.00581, 0.575979
1.08809, 1.45233, 1.05822, 0.538273
1.20792, 1.4821, 0.908863, 0.705778
0.992488, 1.38456, 1.01882, 0.686038
1.03189, 1.24635, 1.13741, 0.692394
0.884846, 1.15776, 1.17997, 0.663059
0.927826, 1.36129, 1.20841, 0.440988
1.02706, 1.31472, 1.21652, 0.406578
1.13137, 1.29265, 1.09256, 0.457398
1.1765, 1.46733, 1.00952, 0.561129
1.17679, 1.40528, 0.845994, 0.427067
1.35208, 1.3593, 0.93914, 0.521769
1.47488, 1.44745, 1.00239, 0.408188
1.38337, 1.33873, 1.02988, 0.490626
1.41794, 1.41327, 1.15294, 0.478858
1.47946, 1.40798, 1.03112, 0.46925
1.42689, 1.46013, 1.06487, 0.46041
1.48095, 1.43434, 1.08813, 0.479821
1.47711, 1.36558, 1.1073, 0.480892
1.36825, 1.37331, 1.0802, 0.574492
1.45752, 1.4582, 1.10398, 0.431081
1.4169, 1.49702, 1.15719, 0.35197
1.39224, 1.44602, 1.04028, 0.311134
1.37761, 1.44332, 1.10138, 0.340873
1.34979, 1.41007, 1.09582, 0.270662
1.45358, 1.44156, 1.10484, 0.289856
1.44165, 1.4233, 1.18877, 0.269696
1.36632, 1.41137, 1.04598, 0.266216
1.36632, 1.41137, 1.04598, 0.266216
1.26273, 1.33246, 1.09784, 0.259784
1.08418, 1.11007, 0.872665, 0.349492
1.01299, 1.05092, 0.908045, 0.313881
1.03869, 0.938633, 0.902869, 0.274551
1.03869, 0.938633, 0.902869, 0.274551
1.12729, 0.924424, 0.821223, 0.317378
1.13942, 0.892879, 0.77137, 0.399673
1.25802, 0.961552, 0.716759, 0.439377
1.25228, 0.854617, 0.804733, 0.510149
1.30735, 0.920211, 0.752585, 0.725549
1.38121, 0.691562, 0.630471, 0.785582
1.27651, 0.762672, 0.653674, 0.679472
1.2903, 0.859931, 0.701499, 0.663748
1.1826, 0.892893, 0.693922, 0.555824
1.36049, 0.777839, 0.825066, 0.535458
1.38705, 0.716627, 0.901943, 0.440078
1.40305, 0.758038, 0.909905, 0.454018
1.25983, 0.739879, 0.75997, 0.454418
1.36685, 0.632455, 0.80105, 0.440069
1.33942, 0.608009, 0.720408, 0.398898
1.30707, 0.575209, 0.753324, 0.548702
1.33805, 0.634361, 0.692239, 0.455061
1.31908, 0.745233, 0.781953, 0.427445
1.37208, 0.633744, 0.795249, 0.474578
1.414, 0.755058, 0.733651, 0.528843
1.24347, 0.809588, 0.646624, 0.530421
1.10203, 0.695897, 0.576927, 0.590642
1.14007, 0.68622, 0.446051, 0.721793
1.22993, 0.74978, 0.438176, 0.705382
1.36795, 0.88641, 0.470322, 0.653344
1.42569, 1.05514, 0.585547, 0.651478
1.14348, 1.02285, 0.525368, 0.676297
1.21507, 1.1582, 0.421999, 0.694296
1.09472, 1.11618, 0.510843, 0.763873
1.12337, 1.09497, 0.440029, 0.861831
1.2053, 1.04255, 0.424567, 0.947944
1.32294, 1.14228, 0.247327, 1.08873
1.22263, 1.21083, 0.286352, 0.974339
1.11825, 1.38393, 0.215729, 1.01509
1.01339, 1.23422, 0.237917, 1.0139
0.951085, 1.20488, 0.141363, 0.954441
1.01867, 1.21812, 0.214802, 0.846783
0.87137, 1.03054, 0.152807, 1.04395
0.936744, 0.911444, 0.174349, 0.903524
0.79437, 0.898666, 0.241014, 0.85754
0.882736, 0.88339, 0.23752, 0.831594
0.971616, 1.03204, 0.250219, 0.781285
0.998986, 1.07934, 0.242779, 0.795504
0.917878, 1.04612, 0.330718, 0.924184
0.845865, 1.16263, 0.239998, 0.965351
0.690046, 1.15426, 0.298279, 0.99056
0.817874, 1.03666, 0.351031, 0.982592
0.793058, 1.19029, 0.176772, 0.728623
0.728698, 1.09708, 0.189168, 0.746927
0.727209, 1.14162, 0.32917, 0.804764
0.645882, 1.08634, 0.398239, 0.824128
0.912982, 0.906191, 0.194939, 0.937876
0.975105, 0.761841, 0.228911, 0.877195
