           0.05      -0.418972      0.0239242     -0.0105539     -0.0403667       0.070371     -0.0152712     -0.0315649     -0.0361739     -0.0532059     -0.0429063      0.0046942      0.0875492      -0.205528      -0.241892      -0.404049       0.733683
           0.15      -0.420143      0.0140641    -0.00685065     0.00778663      0.0356059    -0.00725356     -0.0459898     -0.0562933     -0.0334547     -0.0269213      0.0576713       0.108774      -0.155008      -0.192442       -0.53892      -0.669382
           0.25      -0.405058     -0.0492073     -0.0431443     -0.0222212       0.076553     -0.0402744      -0.030976     -0.0516213     -0.0440568     -0.0437313     -0.0188655       0.117137      -0.268868      -0.457913        0.71481     -0.0958512
           0.35      -0.387005     -0.0661212     -0.0376515      0.0122376      0.0106917      0.0212817     -0.0345882      -0.070941      -0.063472     -0.0890092       0.063774       0.187519      -0.299273       0.822024       0.144646      0.0099669
           0.45      -0.333986      -0.101519     -0.0957807      0.0469434       0.147409     0.00489922     -0.0504446     -0.0741434     -0.0212947     -0.0595801      0.0373357       0.326867       0.847931      0.0308461        0.06175      0.0313662
           0.55      -0.250587      -0.307178      0.0242331      0.0514201       0.109707      0.0740708     -0.0452869      -0.257295      -0.107139     -0.0136726       0.137418      -0.838963       0.130098      0.0444776      0.0230176    0.000929085
           0.65     -0.0917456      -0.425501       0.100535      -0.314232      -0.143199     -0.0392055     0.00290433       0.149003       0.804936     -0.0917831      0.0256238     0.00016187    -0.00627422    -0.00118346     -0.0185706     0.00647829
           0.75      0.0247676      -0.504926      0.0447495       0.173987      -0.343172      -0.306721      -0.420469      0.0957398      -0.269242      0.0945839      -0.475995      0.0623274    -0.00998433    -0.00967158     -0.0475242     0.00344299
           0.85      0.0913823      -0.456156       -0.15594      0.0443811       0.337228       0.229371       0.439237      -0.167686     -0.0281221       0.542928      -0.167628       0.178787      -0.107077    -0.00871283     -0.0522692    -0.00188856
           0.95       0.163569       -0.40565      -0.104513      0.0712614      0.0872737       0.213769      -0.179949       0.439223      -0.247626      -0.144686        0.63476       0.127545      -0.078643     -0.0766882     -0.0174802      0.0164032
           1.05       0.193072       -0.21571      -0.165236      -0.184196     -0.0244696       0.280163       0.175053      -0.325099      -0.150346       -0.72709      -0.267107      0.0927472     -0.0460089     -0.0572292     -0.0510306     -0.0181844
           1.15       0.198839     -0.0355558      -0.144565      -0.208535      -0.187472      -0.131165      -0.351346      -0.695289      0.0411065       0.207417       0.392333       0.178421      -0.048598      -0.044467    -0.00445702      0.0275895
           1.25       0.130638      -0.128633      0.0998051       0.486242       0.299887      -0.643707       0.238086      -0.160559       0.136879      -0.276592       0.166773      0.0612496     -0.0727483     -0.0102745      -0.029757        0.01237
           1.35       0.121902      0.0808321      -0.382833      -0.213033       0.666891      -0.125633       -0.48163       0.108965       0.117806      -0.035041      -0.227254     -0.0810575     -0.0653441      0.0559557     -0.0268342     -0.0291935
           1.45      0.0750027    -0.00101124       0.647687       0.315219       0.265531       0.432939      -0.362575      -0.188958       0.153478     -0.0334422      -0.084027       0.125936     -0.0457434     -0.0193376      0.0144422      0.0115993
           1.55      0.0354351     -0.0909144       0.561453      -0.631003       0.231303      -0.291431       0.117574      0.0353583      -0.339356      0.0159961      0.0437494      0.0467243      0.0451837      0.0346686      0.0035067     -0.0284017
