'uu_width','ud_width','us_width','ss_width'
0.344155, 0.723902, 0.971724, 0.969372
0.445322, 0.75447, 1.09921, 1.02269
0.352219, 0.64687, 1.05303, 0.933992
0.431604, 0.614006, 0.978302, 1.03287
0.357262, 0.614919, 0.838378, 1.00724
0.381989, 0.713263, 0.944935, 0.787409
0.417332, 0.709802, 1.08026, 0.763742
0.42146, 0.744208, 1.07849, 0.783404
0.407404, 0.74445, 1.05381, 0.811917
0.304792, 0.740098, 1.05191, 0.904719
0.414616, 0.825908, 1.0799, 0.849361
0.353255, 0.92884, 1.05941, 0.888674
0.331858, 0.85907, 0.995596, 0.954511
0.333805, 0.796, 0.932583, 0.894336
0.372513, 0.764494, 0.931789, 0.825136
0.292934, 0.786213, 0.953525, 0.735856
0.248845, 0.740022, 0.903763, 0.730488
0.283213, 0.825012, 0.834183, 0.698777
0.259851, 0.808062, 0.828567, 0.668711
0.262094, 0.747204, 0.854867, 0.712735
0.271286, 0.750946, 0.980804, 0.503782
0.203605, 0.868093, 0.794175, 0.495957
0.163001, 0.988837, 0.851507, 0.588777
0.217844, 0.715232, 0.782036, 0.536447
0.238618, 0.732052, 1.03509, 0.366947
0.29471, 0.723829, 1.21618, 0.388834
0.177863, 0.554528, 1.32962, 0.298678
0.145462, 0.488966, 1.46918, 0.241229
0.207368, 0.580201, 1.34891, 0.212341
0.256299, 0.535106, 1.3064, 0.304259
0.178307, 0.583067, 1.38342, 0.28897
0.184745, 0.714166, 1.41135, 0.348578
0.170106, 0.708294, 1.34585, 0.450349
0.28624, 0.844085, 1.26939, 0.238369
0.28624, 0.844085, 1.26939, 0.238369
0.266886, 0.750502, 1.34817, 0.393423
0.282514, 0.845249, 1.28942, 0.40472
0.282514, 0.845249, 1.28942, 0.40472
0.293669, 0.88893, 1.37972, 0.481887
0.17513, 0.979009, 1.25295, 0.46937
0.241719, 0.93846, 1.12769, 0.443731
0.287459, 0.913173, 1.0191, 0.452436
0.220121, 0.800461, 1.01712, 0.540115
0.182269, 0.888293, 1.00943, 0.456005
0.176592, 0.726171, 1.00428, 0.493014
0.187401, 0.756638, 1.0637, 0.527998
0.281444, 0.693901, 0.970737, 0.653353
0.327515, 0.796428, 0.897843, 0.652862
0.222992, 0.909927, 0.845417, 0.619862
0.13865, 0.912131, 0.771267, 0.510821
0.264985, 0.993432, 0.832129, 0.526762
0.27994, 0.949737, 0.761531, 0.587564
0.276617, 0.886551, 0.67131, 0.606061
0.19478, 0.845644, 0.761062, 0.603581
0.11652, 0.876089, 0.784703, 0.519575
0.204817, 0.914142, 0.744655, 0.65785
0.289231, 0.956917, 0.781751, 0.598241
0.228178, 1.04461, 0.912742, 0.352415
0.113291, 1.02255, 0.944959, 0.311176
0.144133, 0.995996, 0.87791, 0.288875
0.152817, 0.901806, 0.877753, 0.374031
0.121911, 0.938553, 0.981592, 0.321251
0.105027, 0.929187, 0.989539, 0.333857
0.112106, 0.891748, 1.02608, 0.240771
0.113258, 0.8425, 1.03404, 0.168297
0.170701, 0.75399, 1.09751, 0.135092
0.145215, 0.874891, 1.13005, 0.165691
0.140068, 0.773668, 1.29804, 0.15955
0.192322, 0.692873, 1.16193, 0.192348
0.199275, 0.875381, 1.12395, 0.208905
0.199275, 0.875381, 1.12395, 0.208905
0.198985, 0.645198, 1.22759, 0.261579
0.116827, 0.564624, 1.24852, 0.271458
0.1365, 0.684488, 1.29455, 0.100135
0.1365, 0.684488, 1.29455, 0.100135
0.13728, 0.783812, 1.0811, 0.199187
0.13728, 0.783812, 1.0811, 0.199187
0.219883, 0.687152, 1.00173, 0.337197
0.203681, 0.853488, 1.11167, 0.338745
0.23228, 0.679517, 1.18499, 0.447322
0.120751, 0.777943, 1.09622, 0.301132
0.267625, 0.754365, 1.19567, 0.407142
0.276822, 0.963884, 1.17098, 0.318746
0.128039, 1.02361, 1.19681, 0.270982
0.109966, 1.08743, 1.13185, 0.276703
0.147217, 1.09977, 1.04221, 0.474503
0.116471, 1.14205, 1.28981, 0.418461
0.182816, 1.1762, 1.22182, 0.384999
0.204508, 1.1809, 1.2689, 0.517855
0.203444, 1.18235, 1.19229, 0.491975
0.15781, 1.2493, 1.24683, 0.345581
0.110214, 1.27698, 1.28096, 0.367217
0.110214, 1.27698, 1.28096, 0.367217
0.141329, 1.25717, 1.26001, 0.37387
