double balnormpipi 0.018225 0.002734
double ypipi1  1.78765  0.06200
double ypipi2  1.60068  0.05800
double ypipi3  1.34106  0.05400
double ypipi4  1.17266  0.05000
double ypipi5  0.96771  0.04600
double ypipi6  0.79993  0.04200
double ypipi7  0.65244  0.03800
double ypipi8  0.49942  0.03400
double ypipi9  0.39187  0.03000
double ypipi10  0.27704  0.02600
double ypipi11  0.18648  0.02200
double ypipi12  0.14061  0.01800
double ypipi13  0.09422  0.01400
double ypipi14  0.04459  0.01000
double ypipi15  0.02439  0.00600
double ypipi16  0.01472  0.00200
double ypipi17  0.00453 -0.00200
double balnormKK 0.005018 0.000753
double yKK1  1.63183  0.06200
double yKK2  1.59559  0.05800
double yKK3  1.38974  0.05400
double yKK4  1.22353  0.05000
double yKK5  1.04412  0.04600
double yKK6  0.82857  0.04200
double yKK7  0.68793  0.03800
double yKK8  0.53369  0.03400
double yKK9  0.37028  0.03000
double yKK10  0.29226  0.02600
double yKK11  0.20887  0.02200
double yKK12  0.12516  0.01800
double yKK13  0.04912  0.01400
double yKK14  0.01556  0.01000
double yKK15  0.00452  0.00600
double yKK16 -0.00072  0.00200
double yKK17 -0.00006 -0.00200
double balnormppbar 0.002757 0.000414
double yppbar1  3.11785  0.06200
double yppbar2  3.27778  0.05800
double yppbar3  3.37248  0.05400
double yppbar4  2.96609  0.05000
double yppbar5  2.62876  0.04600
double yppbar6  2.13128  0.04200
double yppbar7  1.75568  0.03800
double yppbar8  1.26068  0.03400
double yppbar9  0.92734  0.03000
double yppbar10  0.58108  0.02600
double yppbar11  0.34985  0.02200
double yppbar12  0.22079  0.01800
double yppbar13  0.10247  0.01400
double yppbar14  0.04110  0.01000
double yppbar15  0.00058  0.00600
double yppbar16  0.00040  0.00200
double yppbar17  0.00000 -0.00200
